ResourceName,ResourceId,ResourceType,ResourceGroup,Region,EstimatedSavings,RecommendedAction
datamart2az-p30stripe6,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/datamart2az-p30stripe6,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P50 LRS Disk' to 'E50 LRS Disk'
whs-adf-shire02_osdisk,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/wcus-prod-it-shire-rg01/providers/microsoft.compute/disks/whs-adf-shire02_osdisk,microsoft.compute/disks,wcus-prod-it-shire-rg01,,,Change tier from 'P10 LRS Disk' to 'E10 LRS Disk'
vmwcusdappgwcon_osdisk_1_15269101ca304db4bdad18414bafb2c0,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-d-compute-01/providers/microsoft.compute/disks/vmwcusdappgwcon_osdisk_1_15269101ca304db4bdad18414bafb2c0,microsoft.compute/disks,rg-wcus-d-compute-01,,,Change tier from 'P10 LRS Disk' to 'E10 LRS Disk'
anteriadfwprod-osdisk,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/anteriadfwprod/providers/microsoft.compute/disks/anteriadfwprod-osdisk,microsoft.compute/disks,anteriadfwprod,,,Change tier from 'P3 LRS Disk' to 'E3 LRS Disk'
mrtdapp-reports-osdisk-00,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-a-compute-01/providers/microsoft.compute/disks/mrtdapp-reports-osdisk-00,microsoft.compute/disks,rg-wcus-a-compute-01,,,Change tier from 'P10 LRS Disk' to 'E10 LRS Disk'
mrtweb2-osdisk-00,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-a-compute-01/providers/microsoft.compute/disks/mrtweb2-osdisk-00,microsoft.compute/disks,rg-wcus-a-compute-01,,,Change tier from 'P30 LRS Disk' to 'E30 LRS Disk'
vmwcushnetutil_osdisk,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-h-compute-01/providers/microsoft.compute/disks/vmwcushnetutil_osdisk,microsoft.compute/disks,rg-wcus-h-compute-01,,,Change tier from 'P10 LRS Disk' to 'E10 LRS Disk'
birch_osdisk,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/birch_osdisk,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P10 LRS Disk' to 'E10 LRS Disk'
ia-adf-shire01_osdisk,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/wcus-prod-it-shire-rg01/providers/microsoft.compute/disks/ia-adf-shire01_osdisk,microsoft.compute/disks,wcus-prod-it-shire-rg01,,,Change tier from 'P10 LRS Disk' to 'S10 LRS Disk'
pmd-adf-shire01_osdisk,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/wcus-prod-it-shire-rg01/providers/microsoft.compute/disks/pmd-adf-shire01_osdisk,microsoft.compute/disks,wcus-prod-it-shire-rg01,,,Change tier from 'P10 LRS Disk' to 'E10 LRS Disk'
vmwcusdba01_osdisk,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/wcus-prod-dba-core-rg01/providers/microsoft.compute/disks/vmwcusdba01_osdisk,microsoft.compute/disks,wcus-prod-dba-core-rg01,,,Change tier from 'P10 LRS Disk' to 'E10 LRS Disk'
ia-prod-domo01_osdisk,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/wcus-prod-ia-core-rg01/providers/microsoft.compute/disks/ia-prod-domo01_osdisk,microsoft.compute/disks,wcus-prod-ia-core-rg01,,,Change tier from 'P10 LRS Disk' to 'S10 LRS Disk'
cmd-adf-shire01_osdisk,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/wcus-prod-it-shire-rg01/providers/microsoft.compute/disks/cmd-adf-shire01_osdisk,microsoft.compute/disks,wcus-prod-it-shire-rg01,,,Change tier from 'P10 LRS Disk' to 'E10 LRS Disk'
vmwcushmdca_osdisk,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-h-compute-01/providers/microsoft.compute/disks/vmwcushmdca_osdisk,microsoft.compute/disks,rg-wcus-h-compute-01,,,Change tier from 'P10 LRS Disk' to 'E10 LRS Disk'
vmwcushmddc02_osdisk_1_9e16b1fb917b4949a6004dfd98303017,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-h-compute-01/providers/microsoft.compute/disks/vmwcushmddc02_osdisk_1_9e16b1fb917b4949a6004dfd98303017,microsoft.compute/disks,rg-wcus-h-compute-01,,,Change tier from 'P10 LRS Disk' to 'E10 LRS Disk'
vmwcushnetdc001_osdisk_1_91d7c717c5e54368a67e522bbaa3410a,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-h-compute-01/providers/microsoft.compute/disks/vmwcushnetdc001_osdisk_1_91d7c717c5e54368a67e522bbaa3410a,microsoft.compute/disks,rg-wcus-h-compute-01,,,Change tier from 'P10 LRS Disk' to 'E10 LRS Disk'
vmwcushnetdc002_disk1_502837afd400416683f6f466b2ff8164,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-h-compute-01/providers/microsoft.compute/disks/vmwcushnetdc002_disk1_502837afd400416683f6f466b2ff8164,microsoft.compute/disks,rg-wcus-h-compute-01,,,Change tier from 'P10 LRS Disk' to 'S10 LRS Disk'
vmwcushdmzdc001_disk1_b75f8c96de0844afbf0d05bc6af09e4a,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-h-compute-01/providers/microsoft.compute/disks/vmwcushdmzdc001_disk1_b75f8c96de0844afbf0d05bc6af09e4a,microsoft.compute/disks,rg-wcus-h-compute-01,,,Change tier from 'P10 LRS Disk' to 'E10 LRS Disk'
vmwcushdmzdc002_disk1_209a74399d724b7cb646a6c31c3251c0,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-h-compute-01/providers/microsoft.compute/disks/vmwcushdmzdc002_disk1_209a74399d724b7cb646a6c31c3251c0,microsoft.compute/disks,rg-wcus-h-compute-01,,,Change tier from 'P10 LRS Disk' to 'S10 LRS Disk'
itadfshire01-osdisk-20251227-065209,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/wcus-prod-it-shire-rg01/providers/microsoft.compute/disks/itadfshire01-osdisk-20251227-065209,microsoft.compute/disks,wcus-prod-it-shire-rg01,,,Change tier from 'P10 LRS Disk' to 'E10 LRS Disk'
iasynshire01-osdisk-20251227-082056,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/wcus-prod-it-shire-rg01/providers/microsoft.compute/disks/iasynshire01-osdisk-20251227-082056,microsoft.compute/disks,wcus-prod-it-shire-rg01,,,Change tier from 'P10 LRS Disk' to 'E10 LRS Disk'
vmwcushdmzdc01res-osdisk-20251227-091706,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-h-compute-01/providers/microsoft.compute/disks/vmwcushdmzdc01res-osdisk-20251227-091706,microsoft.compute/disks,rg-wcus-h-compute-01,,,Change tier from 'P10 LRS Disk' to 'S10 LRS Disk'
vmwcushdmzdc02res-osdisk-20251227-091744,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-h-compute-01/providers/microsoft.compute/disks/vmwcushdmzdc02res-osdisk-20251227-091744,microsoft.compute/disks,rg-wcus-h-compute-01,,,Change tier from 'P10 LRS Disk' to 'E10 LRS Disk'
mdchfs02res-osdisk-20251228-223226,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/mdchfs02res-osdisk-20251228-223226,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P15 LRS Disk' to 'E15 LRS Disk'
ia-adf-shire02_osdisk,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/wcus-prod-it-shire-rg01/providers/microsoft.compute/disks/ia-adf-shire02_osdisk,microsoft.compute/disks,wcus-prod-it-shire-rg01,,,Change tier from 'P10 LRS Disk' to 'S10 LRS Disk'
anteastutil-osdisk-20251227-081936,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/anteriadryebrookprod/providers/microsoft.compute/disks/anteastutil-osdisk-20251227-081936,microsoft.compute/disks,anteriadryebrookprod,,,Change tier from 'P10 LRS Disk' to 'S10 LRS Disk'
banyan_logs,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/banyan_logs,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P50 LRS Disk' to 'E50 LRS Disk'
banyan_db,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/banyan_db,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P50 LRS Disk' to 'E50 LRS Disk'
banyan_tempdb,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/banyan_tempdb,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P50 LRS Disk' to 'E50 LRS Disk'
mango_dblogs,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/mango_dblogs,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P10 LRS Disk' to 'E10 LRS Disk'
mango_databases,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/mango_databases,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P10 LRS Disk' to 'E10 LRS Disk'
mango_files,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/mango_files,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P10 LRS Disk' to 'E10 LRS Disk'
cottonwood-osdisk-00,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-d-compute-01/providers/microsoft.compute/disks/cottonwood-osdisk-00,microsoft.compute/disks,rg-wcus-d-compute-01,,,Change tier from 'E15 LRS Disk' to 'S15 LRS Disk'
mango_tempdb,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/mango_tempdb,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P4 LRS Disk' to 'E4 LRS Disk'
iasandbox_logs,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-d-compute-01/providers/microsoft.compute/disks/iasandbox_logs,microsoft.compute/disks,rg-wcus-d-compute-01,,,Change tier from 'P40 LRS Disk' to 'E40 LRS Disk'
iasandbox_database1,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-d-compute-01/providers/microsoft.compute/disks/iasandbox_database1,microsoft.compute/disks,rg-wcus-d-compute-01,,,Change tier from 'P50 LRS Disk' to 'E50 LRS Disk'
